service_date,department,payer_type,claims_submitted,claims_denied,claims_approved,gross_revenue,expected_reimbursement,payments_collected,patient_payments,ar_balance,days_in_ar,write_offs,adjustments
2022-02-11,Cardiology,Commercial,599,51,548,4652849,4305338,4105953,89324,2611908,122,48028,80520
2022-02-12,Radiology,Medicare,2928,161,2767,4377095,3714280,3210488,192691,1516700,27,56854,99681
2022-02-13,Cardiology,Medicare,3752,372,3380,1470563,1374964,1267049,85380,2623868,66,77799,30241
2022-02-14,Cardiology,Employer Plan,1882,189,1693,1339519,1198944,1170437,18013,2138105,32,181341,84253
2022-02-15,Cardiology,Medicaid,713,33,680,2509552,2151243,1827764,42344,2090962,47,68864,15900
2022-02-16,Emergency,Medicare,1362,127,1235,2875591,2338798,1811475,180269,816134,17,57368,46285
2022-02-17,Oncology,Employer Plan,1935,150,1785,3409205,2877900,2458772,334459,1518409,42,45950,14038
2022-02-18,Emergency,Medicare,2838,414,2424,1603812,1295937,1017465,74648,125086,150,188149,94336
2022-02-19,Radiology,Self-Pay,2517,286,2231,1641061,1494067,1180140,267463,2228334,23,62871,84512
2022-02-20,Emergency,Commercial,1088,47,1041,2242210,1885237,1806038,220058,1878843,86,115096,33328
2022-02-21,Orthopedics,Commercial,2204,296,1908,4114925,3415838,2837457,171206,2108199,8,70451,36121
2022-02-22,Pulmonology,Self-Pay,606,49,557,879163,754699,737761,226185,713825,176,158595,68587
2022-02-23,Orthopedics,Self-Pay,1337,173,1164,901788,797691,690068,142938,787560,127,45656,89474
2022-02-24,Urology,Medicaid,3124,399,2725,4167268,3977586,3256917,300756,1463648,72,16658,1366
2022-02-25,Neurology,Self-Pay,1343,29,1314,1634335,1492553,1221712,398801,2573876,77,37222,40029
2022-02-26,Pulmonology,Commercial,1942,97,1845,4687501,4401911,3978386,59391,2357957,10,162279,73912
2022-02-27,Cardiology,Medicaid,1326,183,1143,3502077,2977636,2716263,386674,2250316,25,38578,9922
2022-02-28,Urology,Medicaid,1918,230,1688,440804,368233,339362,216487,2212086,46,18490,63369
2022-03-01,Pulmonology,Medicaid,2241,84,2157,2692860,2494694,2172589,245901,742096,151,199041,77040
2022-03-02,Cardiology,Self-Pay,646,30,616,638807,558498,436902,56850,572285,145,99329,6933
2022-03-03,Oncology,Medicare,3032,304,2728,3754464,3447908,2659873,165829,1345085,158,194415,16603
2022-03-04,Urology,Employer Plan,3843,216,3627,2134560,1714227,1361113,229364,547118,133,124364,59192
2022-03-05,Urology,Medicare,3551,165,3386,940558,887569,832942,182826,1046385,115,60268,86495
2022-03-06,Urology,Medicare,911,134,777,3980520,3364783,2781558,255410,935960,114,92691,13229
2022-03-07,Cardiology,Medicare,2289,182,2107,1069843,950490,872725,497612,1335965,133,82371,13678
2022-03-08,Neurology,Self-Pay,2706,236,2470,1195874,1114725,862062,224370,2397590,127,108383,80505
2022-03-09,Oncology,Employer Plan,3752,393,3359,4064555,3336978,2528522,203451,999067,83,131910,52458
2022-03-10,Cardiology,Employer Plan,1889,56,1833,3561957,3317468,2973136,257117,831394,139,173305,48428
2022-03-11,Radiology,Medicare,871,62,809,1777345,1694537,1323654,350705,2978651,5,117002,51762
2022-03-12,Oncology,Medicare,3726,513,3213,3852805,3414060,2771060,271168,2153306,96,131091,47322
2022-03-13,Cardiology,Employer Plan,3268,466,2802,4553549,4041731,3566197,413495,2455160,117,24017,89308
2022-03-14,Emergency,Medicaid,890,75,815,2802057,2579166,2071837,198174,2979452,175,131000,12471
2022-03-15,Emergency,Medicare,755,102,653,2395175,2269635,1889587,338163,2599751,76,185140,18138
2022-03-16,Orthopedics,Employer Plan,3816,323,3493,2784117,2464325,1918776,96882,2662660,179,194615,48143
2022-03-17,Orthopedics,Self-Pay,859,127,732,4358507,3538802,2971583,335695,2470499,152,108783,9291
2022-03-18,Radiology,Commercial,1450,177,1273,1808625,1620517,1507805,24285,2432860,176,89773,5614
2022-03-19,Radiology,Medicaid,2491,318,2173,971130,923060,842292,81650,1343726,163,109000,25758
2022-03-20,Urology,Self-Pay,1653,73,1580,4121398,3461640,3227013,50514,1917680,65,135687,24268
2022-03-21,Oncology,Commercial,1055,21,1034,3784376,3060795,2913137,435491,2362543,74,45634,93300
2022-03-22,Urology,Self-Pay,3758,321,3437,3319440,3134195,2508612,381094,1870904,159,164931,80713
2022-03-23,Oncology,Medicare,1881,277,1604,4258327,3936018,3020155,479786,346863,56,101946,58543
2022-03-24,Pulmonology,Medicare,1195,174,1021,1877409,1567828,1536260,148310,1574234,37,85264,84354
2022-03-25,Cardiology,Employer Plan,3085,308,2777,3290077,2649822,2073248,85623,2740596,179,193316,56520
2022-03-26,Neurology,Commercial,2982,131,2851,2437432,2288939,2157591,175233,2652618,145,146169,50230
2022-03-27,Orthopedics,Employer Plan,2504,53,2451,3193446,2564991,2187856,30328,2889050,15,55933,99717
2022-03-28,Cardiology,Medicaid,1829,154,1675,1404339,1220433,1078602,422970,2677246,76,62880,62706
2022-03-29,Pulmonology,Employer Plan,1030,61,969,727887,667359,523179,152355,1930222,155,197455,97610
2022-03-30,Urology,Commercial,2037,129,1908,4783170,4536529,3913500,494758,1307694,132,83436,41219
2022-03-31,Orthopedics,Employer Plan,2599,333,2266,1598646,1450380,1323693,48030,655334,87,39457,64384
2022-04-01,Urology,Commercial,1440,45,1395,4603891,3952476,3608884,390814,1334041,136,199683,86118
2022-04-02,Pulmonology,Medicaid,1828,58,1770,2522652,2156835,1657216,29119,2656330,101,146880,9673
2022-04-03,Emergency,Medicaid,3628,281,3347,1692451,1408019,1379746,61590,441717,152,15239,75482
2022-04-04,Orthopedics,Medicare,2511,185,2326,3049108,2612704,2234545,484863,2161309,14,79121,58985
2022-04-05,Cardiology,Medicare,2469,69,2400,3001007,2446851,1996435,114413,2372609,122,141337,98614
2022-04-06,Cardiology,Employer Plan,842,76,766,3149899,3047547,2384330,287982,573689,104,22770,92673
2022-04-07,Emergency,Commercial,3063,233,2830,2600318,2412439,2272019,229515,1626474,68,121849,39692
2022-04-08,Cardiology,Employer Plan,3639,542,3097,2377248,2194420,1659240,335066,2041336,75,43838,8080
2022-04-09,Radiology,Commercial,639,18,621,2477341,2061623,1604124,247201,721735,31,35564,15961
2022-04-10,Oncology,Employer Plan,3209,113,3096,4350387,3594884,3133221,478712,270990,25,70933,87518
2022-04-11,Pulmonology,Medicaid,3021,122,2899,3749563,3420544,3346778,229789,1395898,83,174758,99165
2022-04-12,Urology,Employer Plan,2013,125,1888,2723647,2451520,2185286,108622,117980,9,26559,62564
2022-04-13,Pulmonology,Medicare,1878,199,1679,4106861,3823908,3287430,274566,2795322,84,170653,14627
2022-04-14,Cardiology,Medicaid,503,73,430,1693359,1622094,1287780,88255,2731689,94,173880,61830
2022-04-15,Oncology,Medicare,2431,335,2096,1880954,1684832,1278145,258928,2258638,93,96917,17161
2022-04-16,Emergency,Employer Plan,3831,296,3535,993476,909374,831406,79887,2430890,20,108148,97396
2022-04-17,Radiology,Medicare,1255,36,1219,1454426,1318535,1260195,360597,532928,133,92519,93648
2022-04-18,Neurology,Medicare,3564,370,3194,1523115,1403052,1380939,56843,1619949,124,27585,32750
2022-04-19,Orthopedics,Employer Plan,1746,129,1617,3325187,3122587,3077895,123127,2436068,65,63168,95586
2022-04-20,Radiology,Medicare,762,17,745,585186,538885,522499,142229,1183321,88,45360,8490
2022-04-21,Cardiology,Self-Pay,2813,355,2458,4244272,3826151,3584393,327446,654949,148,178655,38109
2022-04-22,Oncology,Commercial,1611,143,1468,1554024,1403575,1143333,419888,1111222,94,121800,98949
2022-04-23,Oncology,Employer Plan,1538,118,1420,3886417,3519462,2821896,225966,882617,70,76434,35453
2022-04-24,Cardiology,Commercial,2522,287,2235,374379,344346,268687,261286,1579503,168,179025,89854
2022-04-25,Urology,Medicaid,3015,396,2619,3491079,3277270,3148461,112835,832879,44,35987,10952
2022-04-26,Neurology,Medicaid,3437,485,2952,3977165,3213830,2892956,368159,2579825,34,133248,77590
2022-04-27,Oncology,Employer Plan,1722,108,1614,849592,746754,734863,346160,2173652,122,181297,29200
2022-04-28,Orthopedics,Employer Plan,2688,117,2571,2571320,2192380,1907523,254254,2833071,58,173821,58677
2022-04-29,Neurology,Employer Plan,938,59,879,3564813,3021434,2373839,445053,211865,38,162157,13853
2022-04-30,Oncology,Medicare,3087,453,2634,675868,582460,478912,234767,1456724,5,72433,82074
2022-05-01,Neurology,Medicaid,3354,110,3244,976848,783655,760116,194833,734849,12,79785,11827
2022-05-02,Urology,Medicare,3973,570,3403,3503589,3114919,2934658,27461,1297007,137,15279,96901
2022-05-03,Radiology,Medicare,2402,241,2161,3200439,2935327,2628958,68486,726956,57,184760,88616
2022-05-04,Oncology,Commercial,1367,29,1338,3808013,3212508,2484184,376161,1551864,162,60324,40421
2022-05-05,Urology,Commercial,599,78,521,4425516,3965736,3389510,422601,1419983,114,143698,20241
2022-05-06,Emergency,Self-Pay,2741,297,2444,3443010,2780933,2545989,191823,1480649,91,1600,531
2022-05-07,Emergency,Commercial,3363,130,3233,4732124,4153624,3970680,61549,559007,101,62696,74080
2022-05-08,Cardiology,Medicaid,3041,195,2846,3621450,3303103,3023130,428873,444951,39,146671,40631
2022-05-09,Oncology,Medicaid,516,68,448,775819,702422,664049,493000,2519003,178,191009,26984
2022-05-10,Radiology,Medicare,2169,248,1921,4143549,3577082,3204840,147993,593902,130,33294,43498
2022-05-11,Emergency,Employer Plan,2908,178,2730,4149891,3748348,3092485,266591,423878,18,155858,23211
2022-05-12,Pulmonology,Medicaid,1633,201,1432,2972662,2451045,1996095,157980,2238264,137,99019,43104
2022-05-13,Urology,Commercial,1610,85,1525,3332750,3018220,2710029,404329,2408025,124,84664,37323
2022-05-14,Orthopedics,Employer Plan,546,49,497,3084014,2577385,2030995,415195,618367,136,72234,98662
2022-05-15,Cardiology,Employer Plan,771,108,663,2374781,2146064,1635946,165658,878385,86,44763,25342
2022-05-16,Pulmonology,Medicare,3887,298,3589,1370328,1165697,903377,25585,1842537,160,63357,71392
2022-05-17,Orthopedics,Employer Plan,2844,262,2582,3007577,2744624,2185779,198867,479980,161,7682,63019
2022-05-18,Pulmonology,Employer Plan,3981,481,3500,3907678,3315925,2806741,385997,505030,172,60560,86432
2022-05-19,Orthopedics,Medicare,3873,180,3693,801919,732854,667939,389100,1524549,95,183347,51889
2022-05-20,Neurology,Medicaid,2292,179,2113,2760232,2318734,2059243,302956,2811057,113,114040,73571
2022-05-21,Neurology,Medicaid,1943,271,1672,4524722,3686995,3193553,163762,979996,137,111904,50384
2022-05-22,Neurology,Medicare,3957,414,3543,3752097,3263451,3122855,163001,2832396,79,22271,7578
2022-05-23,Emergency,Medicare,1479,164,1315,4130488,3976500,3491111,306878,2779166,168,86547,55839
2022-05-24,Neurology,Self-Pay,1336,193,1143,1912090,1789758,1726394,427072,2580623,47,169500,6590
2022-05-25,Emergency,Medicare,3474,335,3139,1147642,958659,892071,171192,858951,148,4377,62400
2022-05-26,Urology,Medicare,2010,267,1743,4232688,3954376,3475292,285416,927200,113,148963,31710
2022-05-27,Emergency,Employer Plan,2608,388,2220,3599775,2943826,2686443,177896,2903908,144,141114,51243
2022-05-28,Urology,Employer Plan,821,88,733,4084838,3394791,3071297,493200,1655933,39,167400,61890
2022-05-29,Neurology,Medicare,1266,138,1128,1862450,1540632,1463151,235777,231794,33,124056,43993
2022-05-30,Orthopedics,Self-Pay,2496,108,2388,2615495,2530606,2372587,325129,1820989,111,128905,59502
2022-05-31,Radiology,Commercial,823,66,757,4278222,4121770,3508967,209431,1576542,75,192734,5413
2022-06-01,Pulmonology,Self-Pay,1319,152,1167,627823,563600,479168,141001,2467996,80,146427,82314
2022-06-02,Neurology,Medicaid,1498,96,1402,1440096,1289580,1068609,432303,306851,158,43230,43777
2022-06-03,Pulmonology,Medicare,588,20,568,2030782,1774182,1459774,357597,2454566,173,176419,50166
2022-06-04,Pulmonology,Employer Plan,2490,56,2434,462932,441998,393162,336833,486887,140,39339,63816
2022-06-05,Radiology,Employer Plan,3713,397,3316,4214132,3439129,2611108,231265,1534223,55,179188,2466
2022-06-06,Neurology,Self-Pay,912,22,890,2251101,1937906,1737495,36679,780273,133,65370,79744
2022-06-07,Orthopedics,Medicaid,1888,157,1731,4519760,4081802,3258159,16990,2470270,114,190366,8353
2022-06-08,Radiology,Self-Pay,1843,248,1595,4596303,4386599,3430029,213630,856933,109,145273,75977
2022-06-09,Radiology,Commercial,840,106,734,1409170,1309714,1010055,36673,1530278,110,167722,92721
2022-06-10,Pulmonology,Commercial,3044,345,2699,3755121,3263893,2776802,219880,1419974,87,53442,68225
2022-06-11,Pulmonology,Employer Plan,3028,398,2630,3067333,2878604,2681591,310411,461846,176,84036,91530
2022-06-12,Pulmonology,Medicaid,1901,222,1679,3161806,2840291,2281258,99731,356804,111,72712,21495
2022-06-13,Orthopedics,Self-Pay,924,20,904,3694154,3293921,3009711,287144,465779,164,125971,8571
2022-06-14,Cardiology,Medicaid,3432,278,3154,4306960,3557680,3007058,406048,79347,11,82102,78842
2022-06-15,Cardiology,Employer Plan,3310,72,3238,756157,624299,610466,162652,2448646,75,142425,88723
2022-06-16,Oncology,Employer Plan,3507,323,3184,2372870,1929453,1552112,110556,72381,4,138232,96461
2022-06-17,Radiology,Medicare,2606,132,2474,1351158,1180844,1001237,70060,2122009,15,187565,51881
2022-06-18,Neurology,Employer Plan,577,44,533,3905851,3461411,2709215,90666,2416687,178,105375,88152
2022-06-19,Oncology,Medicaid,2556,118,2438,4026375,3388802,2774080,307429,124459,96,132662,38792
2022-06-20,Neurology,Self-Pay,3778,477,3301,850377,813474,624075,124841,972081,90,165958,96958
2022-06-21,Pulmonology,Self-Pay,890,39,851,1740467,1422121,1149246,40483,1492340,93,59911,81320
2022-06-22,Orthopedics,Self-Pay,3637,227,3410,1876849,1712792,1340548,359618,741833,36,141449,54794
2022-06-23,Cardiology,Commercial,1746,38,1708,4467824,4036466,3468359,266829,2904947,13,84388,85209
2022-06-24,Emergency,Employer Plan,1722,103,1619,1064784,935104,834538,35838,2251013,152,6203,17270
2022-06-25,Urology,Commercial,1052,24,1028,1398062,1326019,1033417,219099,152220,166,123564,9408
2022-06-26,Cardiology,Commercial,2494,195,2299,3480193,3221177,2993034,442373,699713,32,40760,65118
2022-06-27,Orthopedics,Employer Plan,3648,85,3563,318646,273240,268822,413061,1606397,176,186609,25859
2022-06-28,Urology,Self-Pay,960,67,893,2848075,2404796,1898786,193749,499118,148,123816,62479
2022-06-29,Emergency,Medicaid,2014,199,1815,4356286,4079390,3955243,132476,71743,73,145663,48180
2022-06-30,Urology,Medicare,1135,156,979,4209394,3459768,3087460,377002,586463,21,83620,56006
2022-07-01,Neurology,Commercial,2021,185,1836,4202835,3897871,3832251,67277,2493469,3,113526,53498
2022-07-02,Neurology,Employer Plan,635,55,580,3887098,3249760,2541172,146960,1721892,90,178256,5990
2022-07-03,Pulmonology,Medicaid,3329,87,3242,4961358,4188798,3162977,181511,1115468,7,174181,27346
2022-07-04,Orthopedics,Medicare,1952,134,1818,1348331,1277371,1009180,178052,670777,108,110342,61153
2022-07-05,Orthopedics,Self-Pay,1263,89,1174,2953129,2710220,2173458,254795,972217,24,143042,62979
2022-07-06,Urology,Medicaid,3829,237,3592,839220,738019,718557,16914,1046600,3,173440,75246
2022-07-07,Oncology,Self-Pay,2283,309,1974,4339327,3486156,2762090,459334,1188141,164,163650,44429
2022-07-08,Neurology,Commercial,1730,123,1607,1451564,1197450,936409,133116,348996,12,122191,9461
2022-07-09,Cardiology,Medicare,3019,143,2876,2347405,2001036,1677495,288496,1778410,55,82907,57004
2022-07-10,Radiology,Self-Pay,1075,131,944,4543239,3917761,3027287,481533,1821763,80,125794,61044
2022-07-11,Orthopedics,Self-Pay,981,123,858,1462632,1284156,978332,248792,1422601,104,101595,31
2022-07-12,Orthopedics,Medicaid,3063,198,2865,3009158,2444657,2123202,62474,2065225,140,144190,10691
2022-07-13,Emergency,Medicare,517,65,452,893545,729666,676620,350358,2795069,150,95712,34817
2022-07-14,Pulmonology,Medicare,1612,180,1432,2451107,1991014,1685425,248093,800974,12,90439,90207
2022-07-15,Cardiology,Self-Pay,1250,42,1208,4491713,3706110,2973339,71908,1434294,23,30768,45107
2022-07-16,Radiology,Self-Pay,3787,256,3531,443130,425771,338564,231646,2975899,22,172186,71418
2022-07-17,Radiology,Employer Plan,697,91,606,2018768,1657542,1420715,447377,2448294,114,132970,64633
2022-07-18,Radiology,Employer Plan,3157,216,2941,1964806,1619832,1349506,281577,1947357,166,73256,31677
2022-07-19,Cardiology,Medicare,3110,411,2699,509009,419929,342011,450732,1953383,124,110187,57136
2022-07-20,Oncology,Self-Pay,3929,306,3623,935992,864976,682467,365639,2493273,71,11607,56932
2022-07-21,Oncology,Medicare,1654,154,1500,2378221,2037309,1721037,370777,2293223,24,105961,22429
2022-07-22,Cardiology,Medicaid,3206,226,2980,4548486,4193236,3755753,297082,135115,90,4933,78511
2022-07-23,Radiology,Commercial,2338,233,2105,2994330,2621415,2246217,92274,852369,2,13010,3221
2022-07-24,Neurology,Medicare,1057,93,964,1585465,1279591,1136670,308199,2213375,48,79803,18723
2022-07-25,Urology,Self-Pay,1431,185,1246,3733611,3414436,3028833,306288,1177029,8,38820,69541
2022-07-26,Pulmonology,Commercial,2054,299,1755,4122566,3373147,3080061,490079,1869564,130,23323,92343
2022-07-27,Oncology,Employer Plan,3023,174,2849,4166245,3669330,3485911,222552,1656613,52,92133,91689
2022-07-28,Cardiology,Medicare,1186,47,1139,1438959,1246409,1050456,467170,2289678,77,149250,20547
2022-07-29,Urology,Self-Pay,3051,190,2861,1316802,1169789,981792,367376,1015564,158,12010,84427
2022-07-30,Cardiology,Medicaid,573,64,509,3904559,3451216,3404555,46215,2889433,146,106782,32276
2022-07-31,Emergency,Employer Plan,3525,167,3358,1739426,1602726,1382806,426479,752758,107,197291,30284
2022-08-01,Pulmonology,Medicaid,3122,193,2929,3748334,3365510,2721225,468755,2012910,90,126592,27658
2022-08-02,Radiology,Commercial,2231,315,1916,3119166,2569218,2117021,55314,1388145,158,157897,59134
2022-08-03,Urology,Medicare,2175,256,1919,839570,810826,651961,474204,858106,156,171132,31401
2022-08-04,Oncology,Medicaid,1934,278,1656,4838877,4158330,4017667,420912,1399704,45,37216,68681
2022-08-05,Cardiology,Self-Pay,2640,82,2558,445534,418979,393558,89643,2056990,145,165001,2093
2022-08-06,Orthopedics,Self-Pay,3007,250,2757,2368665,1966353,1751738,10730,2370575,122,74088,21425
2022-08-07,Oncology,Employer Plan,3447,474,2973,1512968,1218472,1155315,485977,2293004,93,187290,15996
2022-08-08,Oncology,Medicare,3105,239,2866,3413937,3270962,2691705,449733,1902942,157,165564,68957
2022-08-09,Pulmonology,Medicare,3182,348,2834,689952,654251,505767,127250,517179,78,133742,25021
2022-08-10,Pulmonology,Commercial,942,39,903,3845753,3715035,3402608,492139,2369410,98,16496,43390
2022-08-11,Orthopedics,Medicaid,3759,195,3564,2105558,1712984,1383633,166970,2576362,116,137921,36096
2022-08-12,Emergency,Employer Plan,907,68,839,3308973,3064049,2652023,66795,2849326,106,54324,47675
2022-08-13,Orthopedics,Self-Pay,781,47,734,3296301,2837722,2177118,470409,1238866,93,155492,35575
2022-08-14,Orthopedics,Employer Plan,3343,346,2997,1098933,1010121,966548,492036,679228,6,98386,8690
2022-08-15,Radiology,Self-Pay,941,119,822,2276461,1845447,1445109,235486,1204484,36,86539,97779
2022-08-16,Emergency,Employer Plan,1122,74,1048,3696890,3516147,3335422,75649,1785832,177,100619,488
2022-08-17,Cardiology,Self-Pay,759,90,669,2565232,2278795,1950254,155100,1938365,54,40330,80934
2022-08-18,Cardiology,Employer Plan,2135,120,2015,3218398,2847004,2662127,482721,639156,175,91161,57561
2022-08-19,Orthopedics,Medicare,3266,236,3030,777696,642022,546535,497719,2647651,18,165159,47023
2022-08-20,Orthopedics,Medicaid,1865,45,1820,2137007,2053674,1988012,317630,1400221,119,60796,62005
2022-08-21,Radiology,Self-Pay,3503,135,3368,4887693,3931107,3370484,357300,2490723,168,174490,29589
2022-08-22,Oncology,Medicaid,2980,103,2877,1715811,1467338,1150288,83591,957255,75,16261,4579
2022-08-23,Radiology,Employer Plan,1836,174,1662,1315897,1142503,914581,495268,2298934,121,111214,48596
2022-08-24,Pulmonology,Medicaid,3531,358,3173,1165039,1083080,825101,191948,1889445,63,175434,75996
2022-08-25,Orthopedics,Medicare,1355,36,1319,4569346,3993185,3701449,70246,507685,38,73964,64626
2022-08-26,Orthopedics,Commercial,1112,102,1010,1599908,1312657,1191109,359247,2696068,95,181922,28686
2022-08-27,Cardiology,Self-Pay,3448,406,3042,4314629,4126493,3952547,428578,1172591,151,165160,73339
2022-08-28,Pulmonology,Medicaid,825,70,755,2250999,1986946,1724346,452154,124972,137,36728,16200
2022-08-29,Emergency,Employer Plan,3684,294,3390,355829,298485,263695,399683,50041,104,54435,89708
2022-08-30,Urology,Employer Plan,2860,293,2567,3204967,2690584,2139095,476894,1498846,125,23208,28829
2022-08-31,Neurology,Medicaid,3120,217,2903,3115326,2647341,2502521,363267,1578731,102,116451,87155
2022-09-01,Urology,Self-Pay,3197,316,2881,3503667,2997551,2783959,106587,1284296,64,29658,84787
2022-09-02,Oncology,Medicaid,1718,240,1478,3381573,2836558,2251920,375758,666746,134,78113,44531
2022-09-03,Pulmonology,Employer Plan,1497,196,1301,427494,383675,312800,52204,1862119,71,136627,98607
2022-09-04,Cardiology,Employer Plan,3221,373,2848,2717431,2282464,2028716,74454,2130318,54,156463,46461
2022-09-05,Oncology,Commercial,1593,212,1381,4221360,3723024,3432959,474138,1603284,144,99158,72178
2022-09-06,Oncology,Medicaid,3184,187,2997,4119641,3582411,2987445,440375,586581,62,90088,40923
2022-09-07,Orthopedics,Commercial,3965,466,3499,3209929,2863490,2655437,313569,2117109,134,94916,13441
2022-09-08,Urology,Medicaid,1731,100,1631,2083620,1685258,1306127,265158,2380401,53,143510,21623
2022-09-09,Oncology,Employer Plan,3823,333,3490,3420056,2933324,2296777,392954,1996426,8,136040,27661
2022-09-10,Emergency,Employer Plan,2064,172,1892,1811179,1733370,1343607,127343,75624,165,7000,16488
2022-09-11,Urology,Medicaid,822,21,801,2108878,1992573,1641852,488880,136283,138,166690,50423
2022-09-12,Orthopedics,Self-Pay,3582,337,3245,2994416,2749408,2623794,236054,1338281,126,38074,40170
2022-09-13,Radiology,Employer Plan,2264,193,2071,2521370,2169287,1733037,469924,1792508,177,15686,17595
2022-09-14,Neurology,Employer Plan,2295,200,2095,1522450,1352582,1028782,439827,2500622,177,104502,89724
2022-09-15,Emergency,Medicare,2468,59,2409,1138657,943989,763057,113480,2492905,134,129095,98979
2022-09-16,Cardiology,Medicare,3339,229,3110,3207577,2967674,2606779,20703,518413,81,159253,95429
2022-09-17,Emergency,Medicare,1231,92,1139,1625954,1415915,1372115,330584,2050556,11,18225,78245
2022-09-18,Orthopedics,Commercial,2219,256,1963,2840346,2695477,2534277,166709,487711,165,113338,30659
2022-09-19,Urology,Employer Plan,790,91,699,1817414,1751783,1446091,34708,1752815,82,128796,25510
2022-09-20,Radiology,Medicare,3865,269,3596,3814852,3558320,3016729,227470,2499493,15,74319,81452
2022-09-21,Emergency,Medicaid,3877,280,3597,3177913,2616274,2197520,65696,2713007,152,10753,86109
